#       [nm]       bulge  elliptical          s0          sa          sb          sc         avg
     246.593 1.25343e-15 1.06737e-15 1.77690e-15 3.25682e-15 6.16196e-15 3.61064e-14 8.27048e-15
     246.813 1.19173e-15 1.09807e-15 1.76350e-15 3.29419e-15 6.36685e-15 3.18152e-14 7.58825e-15
     247.033 1.11052e-15 1.12442e-15 1.77161e-15 3.34564e-15 6.56701e-15 2.91136e-14 7.17213e-15
     247.253 9.18760e-16 1.12605e-15 1.90163e-15 3.47685e-15 6.74039e-15 3.54225e-14 8.26436e-15
     247.473 7.26996e-16 1.12769e-15 2.03165e-15 3.60806e-15 6.91376e-15 4.17314e-14 9.35659e-15
     247.692 7.70763e-16 1.07599e-15 1.85983e-15 3.74224e-15 6.93406e-15 4.33263e-14 9.61819e-15
     247.912 8.48173e-16 1.01667e-15 1.64489e-15 3.87686e-15 6.93249e-15 4.42480e-14 9.76117e-15
     248.132 9.31254e-16 9.95332e-16 1.44502e-15 3.75798e-15 6.90248e-15 4.15955e-14 9.27126e-15
     248.352 1.01813e-15 9.99313e-16 1.25518e-15 3.47010e-15 6.85350e-15 3.65601e-14 8.35939e-15
     248.571 1.04711e-15 1.01210e-15 1.18801e-15 3.33146e-15 6.60077e-15 3.41666e-14 7.89101e-15
     248.791 9.55861e-16 1.04317e-15 1.37557e-15 3.50273e-15 5.92479e-15 3.72595e-14 8.34361e-15
     249.011 8.65110e-16 1.07561e-15 1.55097e-15 3.67312e-15 5.28125e-15 4.03870e-14 8.80551e-15
     249.231 7.83642e-16 1.13409e-15 1.49540e-15 3.82713e-15 5.25348e-15 4.41754e-14 9.44485e-15
     249.451 7.02181e-16 1.19257e-15 1.43983e-15 3.98113e-15 5.22571e-15 4.79635e-14 1.00842e-14
